Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:34:44.69,	0.032,	0.047,	0.028,	0.100,	-0.390,	-0.810,	0.021,	-0.018,	0.630,	0.776,	7.00
15:34:44.73,	0.024,	0.037,	0.027,	0.090,	-0.360,	-0.910,	0.021,	-0.019,	0.631,	0.775,	7.00
15:34:44.78,	0.017,	0.041,	0.032,	0.080,	-0.340,	-1.130,	0.020,	-0.019,	0.631,	0.775,	7.00
15:34:44.83,	0.020,	0.059,	0.030,	0.090,	-0.340,	-1.260,	0.019,	-0.019,	0.632,	0.775,	7.00
15:34:44.87,	0.026,	0.063,	0.032,	0.120,	-0.320,	-1.310,	0.017,	-0.019,	0.633,	0.774,	7.00
15:34:44.92,	0.016,	0.052,	0.030,	0.120,	-0.320,	-1.400,	0.016,	-0.019,	0.633,	0.774,	7.00
15:34:44.97,	0.000,	0.039,	0.030,	0.140,	-0.250,	-1.470,	0.015,	-0.020,	0.630,	0.776,	7.00
15:34:45.01,	0.003,	0.033,	0.030,	0.090,	-0.270,	-1.560,	0.015,	-0.020,	0.629,	0.777,	7.00
15:34:45.05,	0.006,	0.042,	0.027,	0.120,	-0.270,	-1.600,	0.014,	-0.021,	0.627,	0.778,	7.00
15:34:45.10,	-0.001,	0.053,	0.026,	0.110,	-0.220,	-1.700,	0.013,	-0.021,	0.625,	0.781,	7.00
15:34:45.14,	-0.009,	0.061,	0.024,	0.130,	-0.180,	-1.740,	0.011,	-0.021,	0.623,	0.782,	7.00
15:34:45.19,	0.006,	0.067,	0.020,	0.120,	-0.200,	-1.830,	0.010,	-0.021,	0.621,	0.783,	7.00
15:34:45.24,	0.012,	0.057,	0.017,	0.120,	-0.200,	-1.880,	0.010,	-0.021,	0.621,	0.784,	7.00
15:34:45.28,	-0.001,	0.053,	0.018,	0.100,	-0.200,	-1.930,	0.009,	-0.021,	0.619,	0.785,	7.00
15:34:45.33,	-0.017,	0.067,	0.022,	0.100,	-0.130,	-1.970,	0.007,	-0.022,	0.618,	0.786,	7.00
15:34:45.37,	-0.009,	0.084,	0.019,	0.160,	-0.100,	-1.970,	0.006,	-0.021,	0.617,	0.787,	7.00
15:34:45.42,	0.017,	0.079,	0.013,	0.180,	-0.140,	-1.990,	0.005,	-0.021,	0.616,	0.787,	7.00
15:34:45.47,	0.008,	0.057,	0.012,	0.150,	-0.150,	-2.000,	0.005,	-0.021,	0.616,	0.787,	7.00
15:34:45.52,	-0.009,	0.054,	0.013,	0.140,	-0.090,	-2.050,	0.004,	-0.021,	0.614,	0.789,	7.00
15:34:45.56,	-0.006,	0.086,	0.019,	0.150,	-0.050,	-2.030,	0.003,	-0.021,	0.614,	0.789,	7.00
15:34:45.61,	0.023,	0.118,	0.011,	0.200,	-0.060,	-2.000,	0.002,	-0.019,	0.613,	0.790,	7.00
15:34:45.66,	0.034,	0.118,	0.011,	0.270,	-0.090,	-1.930,	0.001,	-0.018,	0.611,	0.791,	7.00
15:34:45.70,	0.022,	0.099,	0.016,	0.270,	-0.120,	-1.860,	0.001,	-0.018,	0.610,	0.792,	7.00
15:34:45.75,	0.004,	0.078,	0.022,	0.300,	-0.070,	-1.790,	0.000,	-0.018,	0.609,	0.793,	7.00
15:34:45.79,	0.016,	0.079,	0.020,	0.280,	-0.060,	-1.690,	-0.000,	-0.018,	0.609,	0.793,	7.00
