System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
15:35:44.80,	05:03:43,	-34.6183856667,	148.251791333,	32114.3
15:35:45.80,	05:03:44,	-34.6183263333,	148.251737167,	32122.7
15:35:46.80,	05:03:45,	-34.6182938333,	148.251691833,	32130.1
15:35:47.80,	05:03:46,	-34.6182838333,	148.251648,	32137.3
15:35:48.80,	05:03:47,	-34.618285,	148.251604667,	32145.1
15:35:49.80,	05:03:48,	-34.6182805,	148.251557667,	32153.0
15:35:50.79,	05:03:49,	-34.618254,	148.251506833,	32161.4
15:35:51.80,	05:03:50,	-34.6182061667,	148.251455167,	32169.8
15:35:52.80,	05:03:51,	-34.6181421667,	148.251404,	32178.0
15:35:53.80,	05:03:52,	-34.61807,	148.251360333,	32185.2
15:35:54.80,	05:03:53,	-34.6179958333,	148.251316167,	32192.1
15:35:55.80,	05:03:54,	-34.6179211667,	148.251281833,	32199.0
15:35:56.80,	05:03:55,	-34.6178531667,	148.251256833,	32206.5
15:35:57.80,	05:03:56,	-34.6177968333,	148.251241,	32214.8
15:35:58.80,	05:03:57,	-34.6177586667,	148.251232,	32222.9
15:35:59.80,	05:03:58,	-34.6177406667,	148.251225,	32229.8
15:36:00.80,	05:03:59,	-34.6177395,	148.251217667,	32236.2
15:36:01.80,	05:04:00,	-34.6177415,	148.251206833,	32242.9
15:36:02.80,	05:04:01,	-34.6177303333,	148.251188667,	32250.7
15:36:03.80,	05:04:02,	-34.6176963333,	148.251163167,	32259.2
15:36:04.80,	05:04:03,	-34.6176445,	148.251129,	32267.5
15:36:05.80,	05:04:04,	-34.6175758333,	148.251082833,	32275.1
15:36:06.80,	05:04:05,	-34.6175048333,	148.251016667,	32282.1
15:36:07.80,	05:04:06,	-34.6174363333,	148.250943333,	32289.5
15:36:08.80,	05:04:07,	-34.6173826667,	148.250876,	32297.5
15:36:09.80,	05:04:08,	-34.6173468333,	148.250820833,	32305.6
15:36:10.80,	05:04:09,	-34.6173271667,	148.250775333,	32313.5
15:36:11.80,	05:04:10,	-34.6173215,	148.250731833,	32320.9
15:36:12.79,	05:04:11,	-34.617327,	148.250685667,	32328.0
15:36:13.80,	05:04:12,	-34.617336,	148.250636667,	32335.2
15:36:14.80,	05:04:13,	-34.6173391667,	148.250586667,	32342.8
15:36:15.79,	05:04:14,	-34.61733,	148.250539167,	32350.6
15:36:16.80,	05:04:15,	-34.617313,	148.250490833,	32358.9
15:36:17.80,	05:04:16,	-34.6172908333,	148.250435167,	32367.6
15:36:18.80,	05:04:17,	-34.6172585,	148.250366833,	32376.1
15:36:19.79,	05:04:18,	-34.6172133333,	148.250286667,	32383.1
15:36:20.79,	05:04:19,	-34.617151,	148.250196,	32389.4
15:36:21.80,	05:04:20,	-34.617081,	148.2500975,	32396.6
15:36:22.80,	05:04:21,	-34.6170238333,	148.249989833,	32404.7
15:36:23.80,	05:04:22,	-34.6169923333,	148.249884833,	32414.0
15:36:24.80,	05:04:23,	-34.6169906667,	148.249783833,	32422.6
15:36:25.80,	05:04:24,	-34.6170123333,	148.2496925,	32430.3
15:36:26.80,	05:04:25,	-34.6170426667,	148.249610667,	32437.9
15:36:27.80,	05:04:26,	-34.6170676667,	148.249531167,	32446.1
15:36:28.80,	05:04:27,	-34.6170783333,	148.249444333,	32453.8
15:36:29.80,	05:04:28,	-34.6170778333,	148.2493355,	32461.9
15:36:30.80,	05:04:29,	-34.6170683333,	148.2492105,	32469.5
15:36:31.80,	05:04:30,	-34.6170436667,	148.249077333,	32476.7
15:36:32.80,	05:04:31,	-34.6170021667,	148.248948167,	32483.4
15:36:33.80,	05:04:32,	-34.6169513333,	148.2488295,	32490.4
15:36:34.80,	05:04:33,	-34.6169028333,	148.248730833,	32499.1
15:36:35.80,	05:04:34,	-34.6168733333,	148.248639667,	32507.0
15:36:36.79,	05:04:35,	-34.61687,	148.248549667,	32514.2
15:36:37.80,	05:04:36,	-34.6168876667,	148.2484635,	32520.9
15:36:38.80,	05:04:37,	-34.616919,	148.2483765,	32527.5
15:36:39.80,	05:04:38,	-34.6169448333,	148.24829,	32535.1
15:36:40.80,	05:04:39,	-34.6169468333,	148.2481925,	32543.2
15:36:41.80,	05:04:40,	-34.6169301667,	148.248084333,	32551.8
15:36:42.79,	05:04:41,	-34.6168965,	148.247962,	32559.6
15:36:43.80,	05:04:42,	-34.6168511667,	148.247830333,	32566.9
15:36:44.80,	05:04:43,	-34.6167951667,	148.247692667,	32573.9
15:36:45.80,	05:04:44,	-34.6167403333,	148.247558167,	32581.4
15:36:46.79,	05:04:45,	-34.6166996667,	148.247435,	32589.7
15:36:47.80,	05:04:46,	-34.6166715,	148.247323833,	32598.5
15:36:48.79,	05:04:47,	-34.6166578333,	148.24723,	32607.0
15:36:49.80,	05:04:48,	-34.616654,	148.247155833,	32614.3
15:36:50.80,	05:04:49,	-34.6166553333,	148.247098333,	32621.3
15:36:51.80,	05:04:50,	-34.6166568333,	148.247046,	32628.9
15:36:52.80,	05:04:51,	-34.6166508333,	148.246978667,	32637.4
15:36:53.80,	05:04:52,	-34.616641,	148.2468855,	32646.2
15:36:54.80,	05:04:53,	-34.616629,	148.246762,	32654.1
15:36:55.80,	05:04:54,	-34.6166193333,	148.246617,	32661.7
